扰动类型,扰动幅度_百分比,样本序号,重优化成本_元,成本变化率_百分比,同情景无储能成本_元,同情景节费率_百分比,购电总量变化率_百分比,电池调度相对变化_百分比,全冻结缺电量_千瓦时,全冻结富余量_千瓦时,固定电池可行,固定电池补救成本_元,固定电池后悔率_百分比,固定电池不可吸收电量_千瓦时,独立回代最大违反量_千瓦时
逐时段独立,5.0,36,35320.75311073305,0.5517260085817419,48363.998902885665,26.968915077397334,0.20702274804700327,6.951103347393782,1776.594487610219,1668.749018212675,False,,,50.72540165733314,1.5006662579253316e-11
逐时段独立,5.0,37,35202.97533241774,0.2164342083776993,48113.41415280072,26.83334585107893,-0.03633112883997258,5.322621420543349,1609.8848196092301,1590.8540537149788,False,,,85.02218970762604,7.275957614183426e-12
逐时段独立,5.0,38,35126.81150546059,-0.00039028106484819927,48143.391668681325,27.037106676654027,-0.3340767557982405,7.192882241991326,1495.77667307722,1641.691741250493,False,,,99.00649031062707,5.4569682106375694e-12
逐时段独立,5.0,39,34923.39552281624,-0.5794783907803156,47792.81802231374,26.927523908485504,-0.4428224259033331,5.29123225513591,1499.2321705582908,1729.4197377319563,False,,,170.64974783290475,1.1368683772161603e-12
逐时段独立,5.0,40,35383.503649551756,0.7303653191991593,48413.82851181514,26.914468991196188,0.46865890761540463,5.107481865074796,1679.9555645598316,1445.0707206894886,False,,,77.29872007880294,1.0686562745831907e-11
逐时段独立,5.0,41,34831.178643180756,-0.8420029860346459,47789.52157584144,27.11544812620888,-0.8699619183255791,5.86083140365726,1505.1984982615581,1976.0588903321448,False,,,103.48409175813003,6.821210263296962e-12
逐时段独立,5.0,42,34959.74861860888,-0.4759877739113725,47998.865360379095,27.16546869154416,-0.5122062055798793,6.919193694463068,1536.6088479347695,1863.2978884060358,False,,,138.5425512053946,5.9117155615240335e-12
逐时段独立,5.0,43,34865.34535255401,-0.744736611539638,47962.926340177546,27.307718663220857,-1.1546909952582562,6.284704845803154,1470.0401931819301,2141.7132471774985,False,,,75.35384820465215,3.183231456205249e-12
逐时段独立,5.0,44,34857.589054291864,-0.7668173745191544,47778.60616308794,27.04352040888626,-0.04838643078162175,7.78999511960478,1711.6171618852618,1786.148674071088,False,,,197.48500106092425,7.958078640513122e-12
逐时段独立,5.0,45,35125.03584022964,-0.00544527531215127,48086.70092277937,26.95478133000719,0.4656230167960018,6.2529823316179804,1719.5105768910003,1487.8767163420646,False,,,178.19027765301928,5.6843418860808015e-12
逐时段独立,5.0,46,35524.69387689181,1.132308081010559,48488.80306398351,26.736294500783778,1.2129833487114272,7.63271831532675,1864.4897111034797,1222.753512209099,False,,,95.91435762467022,3.183231456205249e-12
逐时段独立,5.0,47,35400.22405479597,0.7779652557463047,48395.67735029887,26.85250833755022,0.8529821110341507,5.633274853306816,1856.25416395911,1417.321581059891,False,,,144.49227938497643,5.002220859751105e-12
逐时段独立,5.0,48,35100.704324317565,-0.07471265230420733,47799.21261610265,26.56635454180515,0.13604745589019807,6.694352825853533,1706.6680451215957,1590.1775976131541,False,,,134.52869306290475,6.59383658785373e-12
逐时段独立,5.0,49,35264.219219801395,0.39078435783784743,48217.89632424347,26.864874023815712,0.5293873616070366,6.63874418662474,1693.4339031158515,1427.5973788728422,False,,,141.97770669819585,9.549694368615746e-12
逐时段独立,5.0,50,35052.70209903887,-0.21136621087623078,47967.35802518124,26.923842500065586,-0.09278452113995472,5.402781270566895,1714.8757957236166,1773.1389205898563,False,,,160.16871612065512,1.3642420526593924e-12
逐时段独立,5.0,51,34783.28660589349,-0.9783428595420067,47783.646315194695,27.206713408907913,-1.0271915388975872,5.455724293385618,1398.6403330526243,1994.449180010979,False,,,86.58743569075375,8.412825991399586e-12
逐时段独立,5.0,52,34853.02537210121,-0.7798093432856762,47920.99269232821,27.2698176436547,-0.2572633551521153,6.027241913218015,1708.2385578065387,1904.7505740625622,False,,,178.65579493532132,8.86757334228605e-12
逐时段独立,5.0,53,35171.01941315502,0.12546154910331384,48097.02499862356,26.87485470429502,-0.09233913342979738,6.731741276408217,1741.1324617365663,1770.4062117227113,False,,,87.92355120333937,3.865352482534945e-12
逐时段独立,5.0,54,35383.53666847659,0.7304593180409346,48311.53347095501,26.75964903960409,0.525303972862079,6.774105904542675,1858.6781861584795,1573.6605582090403,False,,,76.11902813501553,8.841816168114747e-13
逐时段独立,5.0,55,35075.92733855331,-0.14524820051506776,48128.400417757366,27.12010572948159,-0.5872280813983166,7.799838283579285,1489.5700110413322,1819.6012869934998,False,,,88.97884819178321,1.0231815394945443e-12
逐时段独立,5.0,56,35296.76361578314,0.48343230273335214,48336.22525895608,26.97658241477369,0.19937231214064433,6.445300056300095,1516.6679738398548,1424.0547401565955,False,,,74.67471114114308,3.183231456205249e-12
逐时段独立,5.0,57,34730.49042081731,-1.1286439451229109,47715.941927131826,27.214073498003902,-0.8454597505716976,5.90827567368924,1328.6375533979467,1835.5456318543963,False,,,113.43460659727563,1.000444171950221e-11
